,wuu,yue,LV distance score
0,阿拉试试,我哋试吓吖,0.8
1,哏末哪能呢,嗯咁呢,0.8
2,侬勿要瞎讲,唔好喺度乱噏廿四,1.0
3,搿只苹果老酸个,呢粒苹果好酸,0.5714285714285714
4,勿要忘记脱明朝6点钟来寻我,唔好唔记得听日六点嚟搵我喎,0.8461538461538461
5,我相信伊是个聪明人,我谂佢系聪明人嚟嘅,0.7777777777777778
6,啥辰光出发最方便侬,几时出发最方便你,0.4444444444444444
7,我永远勿会得忘记脱侬,我永远都唔会忘记你,0.5
8,我打算拿搿只手表送拨侬,我谂住送呢只表俾你,0.7272727272727273
9,搿眼是啥人个书,啲书边个㗎,0.8571428571428571
10,搿条规则勿是啥个辰光侪适用个,呢条规则唔系几时都啱用㗎,0.7142857142857143
11,天气每日天侪垃海变,天气每日都喺度变紧,0.5555555555555556
12,侬应该跟㑚爷娘谈清爽先,你应该同你阿爸阿妈倾吓先,0.75
13,呒没多少人垃海,唔系好多人有嚟,0.8571428571428571
14,阿拉个结论就是诶额传言是真个,我哋嘅结论就系个传言系真嘅,0.5714285714285714
15,汤姆回到乡下头了,阿 Tom 返咗乡下,1.0
16,搿眼古老个习俗侪是一代一代传统传下来个,呢啲古老嘅习俗都系一代一代噉传落嚟嘅,0.5263157894736842
17,伊穿啥侪好看,佢着咩都咁靓,1.0
18,房子一家家着起火来,啲屋一间一间噉着咗火,0.8
19,伊昨日啥个道理勿来,佢寻日做咩唔嚟嘅,0.8888888888888888
20,伊个房间除脱张桌凳别样物事侪呒没,佢间房除咗张枱就咩都无喇,0.8125
21,过了三天我侪晓得原来伊失踪了,过咗三日我先知原来佢失咗踪,0.5714285714285714
22,侬啥个辰光回来,你几时返嚟呀,1.0
23,侬懂勿懂用搿部照相机伐,你识唔识用呢部相机呀,0.6363636363636364
24,按照我跟侬讲个搿能做,我叫你点做你就点做,0.9
25,伊老欢喜垃电视浪向看网球比赛个,佢好锺意喺电视度睇网球比赛,0.6
26,哀幅画是印象派个大师级作,嗰幅画系印象派嘅大师级作品,0.3076923076923077
27,拉垃赤道附近一个邪气笑个区域个热带雨林勿停个受到人类个破坏预计拉垃两零零零年之前搿个区域个五分之四个热带雨林将会得从地球浪消失,喺赤道附近一个狭窄区域嘅热带雨林而家不断咁俾人类破坏紧预计喺二零零零年之前嗰个区域会有五分之四嘅热带雨林喺地球度消失,0.42857142857142855
28,侬应该学会控制自家个情绪,你应该学吓控制自己嘅情绪,0.3333333333333333
29,屋里向乱七八糟也呒没问题个但龌龊个闲话我是勿能够接受个,啲屋狗窦咁乱我都顶得顺但系污糟嘅话我就接受唔到,0.8518518518518519
30,伊像啥事体侪依靠老公个,佢咩事都靠晒个老公,0.7272727272727273
31,坐了角落里个哀个男人是啥人,坐喺角落头嗰个男人系边个嚟㗎,0.6428571428571429
32,谢谢侬拿搿个故事从头到底讲拨阿拉听,唔该你将个故事由头到尾讲晒俾我地听,0.6470588235294118
33,侬可以带我去伐,你可唔可以带我去呀,0.4444444444444444
34,侬一定要考虑清爽侬想做哪能样个工作,你一定要谂清楚你想做啲点嘅工,0.5882352941176471
35,侬放假打算到啊里耷去白相呢,你放假谂住去边度玩呀,0.8461538461538461
36,伊拿苹果一劈两,佢将个苹果切开咗两分,0.7
37,搿些树是伊拉种个,呢啲树系佢哋种嘅,0.75
38,瑞士人大多数会得讲三四种语言,瑞士人多数识讲三四种语言,0.21428571428571427
39,搿房间是禁止吃香烟个,呢间房唔俾食烟㗎,0.8
40,我一走路搿搭就老痛个,我一行路呢度就痛到好犀利,0.6666666666666666
41,伊除脱懂得弹钢琴还懂得弹吉他,佢除咗识弹琴仲识弹结他添,0.7142857142857143
42,伊会得弹钢琴伐,佢识唔识弹琴㗎,0.8571428571428571
43,我想伊要花两个钟头才好挪工作做光,我谂佢要用两粒钟先至做得晒啲嘢,0.75
44,我老想拉垃 Tatoeba 浪写交关交关句子但是我有别个事体要做,我真系好想喺 Tatoeba 写好多好多句句子但系我有第二啲嘢要做,0.48484848484848486
45,阿拉还是等老师决定伐,我哋都系等老师话事啦,0.7
46,圣诞节到快生意也好点,圣诞节就快到生意都好咗啲,0.4166666666666667
47,榔头剪刀纸头,包剪𢱕,0.8333333333333334
48,我要帮侬讲再会了,我要同你讲拜拜喇,0.625
49,对个我有桩事体要跟侬讲,话时话我有啲嘢要同你讲,0.7272727272727273
