,wen,yue,LV distance score
0,卬你试试眙,我哋试吓吖,0.8
1,那就訾那能爻,嗯咁呢,1.0
2,覅讲废话,唔好喺度乱噏廿四,1.0
3,居个苹果酸显酸,呢粒苹果好酸,0.5714285714285714
4,覅悗记爻明朝六点钟走来接我,唔好唔记得听日六点嚟搵我喎,0.8461538461538461
5,我相信渠是个聪明人,我谂佢系聪明人嚟嘅,0.7777777777777778
6,若能届走最方便啊你,几时出发最方便你,0.5555555555555556
7,我永远覅悗记你,我永远都唔会忘记你,0.4444444444444444
8,我打算逮居个手表送匄你,我谂住送呢只表俾你,0.7272727272727273
9,居厘书是何乜人个,啲书边个㗎,0.875
10,居条规定否是若能届沃可以用个,呢条规则唔系几时都啱用㗎,0.7857142857142857
11,天气每日沃是得变,天气每日都喺度变紧,0.4444444444444444
12,你应该伉你爸妈谈一谈先,你应该同你阿爸阿妈倾吓先,0.5
13,参加个人否何乜多,唔系好多人有嚟,1.0
14,我厘个结论就是许个传言是真个,我哋嘅结论就系个传言系真嘅,0.42857142857142855
15,汤姆走乡下转哦罢,阿 Tom 返咗乡下,1.0
16,居厘老个习俗沃是一代一代传下个,呢啲古老嘅习俗都系一代一代噉传落嚟嘅,0.5555555555555556
17,渠着何乜沃好眙,佢着咩都咁靓,0.8571428571428571
18,屋宕一间一间能烧起,啲屋一间一间噉着咗火,0.6
19,渠昨夜妆嚷冇走来,佢寻日做咩唔嚟嘅,1.0
20,渠个间里除爻一张桌就何乜沃冇,佢间房除咗张枱就咩都无喇,0.7142857142857143
21,过去三日我新晓得原来渠走狃宕爻罢,过咗三日我先知原来佢失咗踪,0.625
22,你若能届走来,你几时返嚟呀,0.8333333333333334
23,你晓得用居台相机啊伐,你识唔识用呢部相机呀,0.7
24,我叫你訾那做你就訾那做,我叫你点做你就点做,0.36363636363636365
25,渠很喜欢缩电视上眙网球比赛,佢好锺意喺电视度睇网球比赛,0.5384615384615384
26,许幅画是印象派个大师级作品,嗰幅画系印象派嘅大师级作品,0.23076923076923078
27,位于赤道边埏一个狭个区域个热带雨林正是搭不停能遭受人类个破坏预计是二零零零年之前居区域会有五分之四个热带雨林缩地球上消失,喺赤道附近一个狭窄区域嘅热带雨林而家不断咁俾人类破坏紧预计喺二零零零年之前嗰个区域会有五分之四嘅热带雨林喺地球度消失,0.35
28,你应该学起控制你己个脾气,你应该学吓控制自己嘅情绪,0.4166666666666667
29,屋宕乱七八糟也冇问题但是鏖糟个话我□否落,啲屋狗窦咁乱我都顶得顺但系污糟嘅话我就接受唔到,0.782608695652174
30,渠何乜事干沃靠渠老公,佢咩事都靠晒个老公,0.7
31,坐居角落里个许个男个是何乜人啊,坐喺角落头嗰个男人系边个嚟㗎,0.6666666666666666
32,请你逮故事从头到尾匄卬你讲一遍,唔该你将个故事由头到尾讲晒俾我地听,0.6470588235294118
33,你可以带我走去伐,你可唔可以带我去呀,0.4444444444444444
34,你一定着考虑灵清你己想做狃能色个工作,你一定要谂清楚你想做啲点嘅工,0.6111111111111112
35,你放假打算走狃宕嬉,你放假谂住去边度玩呀,0.7
36,渠逮苹果切成两对半,佢将个苹果切开咗两分,0.7
37,居厘树是渠厘种起个,呢啲树系佢哋种嘅,0.7777777777777778
38,瑞士人大部分会讲三四种话,瑞士人多数识讲三四种语言,0.5
39,居个房间是禁止吃香烟个,呢间房唔俾食烟㗎,0.8181818181818182
40,我一走路居宕哩就会痛,我一行路呢度就痛到好犀利,0.75
41,渠除了会弹钢琴还会弹吉他,佢除咗识弹琴仲识弹结他添,0.6666666666666666
42,渠会弹钢琴啊伐,佢识唔识弹琴㗎,1.0
43,我想他着两个小时工作新会做好,我谂佢要用两粒钟先至做得晒啲嘢,0.8666666666666667
44,我真想缩Tatoeba上写多显多个句子可惜我还有别样事个着做,我真系好想喺 Tatoeba 写好多好多句句子但系我有第二啲嘢要做,0.48484848484848486
45,卬你还是匄老师决定,我哋都系等老师话事啦,0.8
46,圣诞节快到罢 生意也好厘爻,圣诞节就快到生意都好咗啲,0.46153846153846156
47,铰剪石头布,包剪𢱕,0.8
48,我着伉你讲再见爻,我要同你讲拜拜喇,0.625
49,对爻我有件事个伉你讲,话时话我有啲嘢要同你讲,0.6363636363636364
50,居宕边埏个电话亭少显少,呢度附近啲电话亭少到阿妈都唔认得,0.75
51,汤姆该日着缩屋里啊伐,阿 Tom 今日使唔使留喺屋企呀,0.9375
52,你可以伉我讲我狃宕赚爻罢,你可唔可以话我知我错喺边呀,0.6923076923076923
53,电影好眙伐,套戏好唔好睇呀,0.8571428571428571
54,何乜水果是红个,有咩生果系红色㗎,0.75
55,你是訾那认识渠个,你点识佢㗎,0.75
56,渠走能届沃清清能逮一只手插裤兜里,佢行路嗰阵成日插只手落个裤袋度,0.875
57,天开始暗爻罢麻烦你逮我灯开一开,个天开始黑啰喎唔该帮我开咗盏灯佢吖,0.8235294117647058
58,卬你以早住个屋宕匄渠拆爻罢,我哋以前住嗰间屋俾人拆咗喇,0.7692307692307693
59,居间学堂奶儿娒比男儿娒多厘,呢间学校女仔多过男仔,0.7692307692307693
60,渠每日天光沃会呷一杯水,佢朝朝早都会饮一杯水,0.6363636363636364
61,我缩居宕住三十年爻罢,我喺呢度住咗卅年喇,0.7
62,你伉我讲爻以后我新晓得居份文件恁重要,你话咗俾我听之后我先知呢份文件有几咁紧要,0.7
63,我阿妈许能届比我还年轻,我阿妈嗰阵仲后生过我,0.7272727272727273
64,我想伉一个喜欢打电动个女个结婚,我想同一个锺意打机嘅女仔结婚,0.4666666666666667
65,可以再匄我一厘咖啡啊伐,可唔可以再俾啲咖啡我呀,0.7272727272727273
66,居房间忒小爻 坐否入五十人,呢间房细得济喇装唔落五十个人,0.7857142857142857
67,中国是亚洲最大个个国,中国系亚洲最大嘅国家,0.4
68,覅吓 渠不会害你个,唔使惊佢唔会伤害你嘅,0.7
69,渠缩学堂里参加爻多显多个活动,佢喺学校参加咗好多活动,0.5714285714285714
70,我星期日后半日三点会走来眙你,我星期日晏昼三点会嚟探你,0.42857142857142855
71,你物事理好罢啊未,你执好晒啲嘢未呀,0.875
72,眙渠走来罢,睇吓佢嚟咗喇,1.0
73,渠帮我逮手表修好罢,佢帮我整好咗只表,0.7777777777777778
74,居宕着留心贼,呢度要因住俾人挞嘢,1.0
75,居张桌伉卬你屋宕个一色大,呢张枱同我哋屋企嗰张一样大,0.6923076923076923
76,请你逮你个名字伉电话号码伉我讲,唔该你话你个名同电话号码俾我听吖,0.5
77,讲老实话我其实想留屋里个 否想走出,老实讲我其实想留喺屋企唔想出街㗎,0.5882352941176471
78,卬你可以接下嬉覅吵着别人就用着,我哋可以继续玩唔好嘈到人就得喇,0.7333333333333333
79,许个何乜声音啊,咩声嚟,0.8571428571428571
80,你应该走眙牙医逮牙拔爻,你应该去睇牙医掹咗只牙佢,0.5833333333333334
81,请你伉我讲一讲机场訾那走,唔该你话我听机场点去吖,0.75
82,居个屋里有几厘只猫儿,呢间屋入面有几多只猫呀,0.5454545454545454
83,覅悗记爻逮书匄图书馆里还,唔好唔记得还返本书俾图书馆喎,0.7142857142857143
84,许本笔记本是何乜人个啊,嗰本簿系边个㗎,0.8181818181818182
85,覅边吃物事边讲话,唔好一路食嘢一路讲嘢,0.9
86,渠很少匄渠爸妈写信,佢好少写信俾佢阿爸阿妈,0.9090909090909091
87,我个书是狃宕啊,我本书喺边,0.7142857142857143
88,你讲忒快爻我听否懂你可以讲慢一厘伐,你讲得太快喇我听唔明你可唔可以讲慢少少呀,0.5
89,你相信也好否相信也好对我冇何乜区别,你信又好唔信又好对我嚟讲无咩分别,0.5882352941176471
90,我做梦也想否到会缩居宕碰着你,我发梦都无谂过会喺呢度撞到你,0.7142857142857143
91,我年轻能届清清能走去打棒球,我后生嗰阵成日去打棒球,0.6153846153846154
92,开摩托车否戴头盔危险显危险,揸电单车唔戴头盔好危险㗎,0.6153846153846154
93,我想爸妈走来之前逮屋里打扫光生,我想喺阿爸阿妈返嚟之前执干净间屋,0.75
94,有厘苹果缩树上遁落爻罢,有啲苹果喺棵树度跌咗落嚟,0.6666666666666666
95,卬你逮门涂成绿个爻,我哋将道门油咗做绿色,0.9
96,当当能否落雨你可以踏踏脚车走去,如果唔落雨嘅话你可以去踩单车,0.7333333333333333
97,我想买厘儿阿司匹林,我想买啲阿士匹灵,0.4444444444444444
98,你眙你吃起满嘴上沃是,你睇吓你食到成个口都系喇,0.8333333333333334
99,你会讲义大利话啊伐,你识唔识讲意大利文㗎,0.7
100,有座树倒下逮路塞爻罢,有棵树冧咗落嚟塞住咗条路,0.75
101,渠逮书剫爻罢,佢撕烂咗本书,1.0
102,亲爱得走床里呐未还未呐我缩Tatoeba上还有厘句子着翻译,老公上床啦未得住呀我要喺 Tatoeba 翻译多几句句子先呀,0.7
103,你会讲英语啊伐,你识唔识讲英文㗎,0.75
104,渠是个好人,佢系个好人,0.4
105,永远覅悗记逮火关爻,千祈唔好唔记得熄火,1.0
106,走远哩,死开,1.0
107,你开忒快爻,你揸得太快喇,0.6666666666666666
108,我眙电视眙烦起爻罢,我睇电视睇到厌喇,0.6666666666666666
109,随便若能届问何乜问题沃可以,有问题随便问,0.8461538461538461
110,悉尼伉居宕远显远,雪梨离呢度好远㗎喎,0.8888888888888888
111,我从来冇眙过渠着牛仔裤,我冇见过佢着牛仔裤,0.36363636363636365
