,cmn,wen,LV distance score
0,我们试试看,卬你试试眙,0.6
1,那又怎样,那就訾那能爻,0.8333333333333334
2,不要说废话,覅讲废话,0.6
3,这个苹果很酸,居个苹果酸显酸,0.42857142857142855
4,别忘了明天六时来接我,覅悗记爻明朝六点钟走来接我,0.6153846153846154
5,我相信他是个聪明人,我相信渠是个聪明人,0.1111111111111111
6,什么时候出发最方便你,若能届走最方便啊你,0.7
7,我永远不会忘记你,我永远覅悗记你,0.375
8,我打算把这块手表送给你,我打算逮居个手表送匄你,0.36363636363636365
9,这些书是谁的,居厘书是何乜人个,0.75
10,这条规则不是什么时候都适用的,居条规定否是若能届沃可以用个,0.7142857142857143
11,天气每天都在变,天气每日沃是得变,0.5
12,你应该先和你的父母谈谈,你应该伉你爸妈谈一谈先,0.6363636363636364
13,参加的人并不多,参加个人否何乜多,0.5
14,我们的结论就是那个传言是真的,我厘个结论就是许个传言是真个,0.2857142857142857
15,汤姆回乡下了,汤姆走乡下转哦罢,0.5
16,这些古老习俗都是一代一代相传下来的,居厘老个习俗沃是一代一代传下个,0.47058823529411764
17,她穿什么都好看,渠着何乜沃好眙,0.8571428571428571
18,房子一间一间地着了火,屋宕一间一间能烧起,0.6
19,她昨天为什么不来,渠昨夜妆嚷冇走来,0.75
20,他的房间除了一张桌子就什么也没有了,渠个间里除爻一张桌就何乜沃冇,0.7058823529411765
21,过了三天我才知道原来她失踪了,过去三日我新晓得原来渠走狃宕爻罢,0.6875
22,你什么时候回来,你若能届走来,0.7142857142857143
23,你懂得用这台相机吗,你晓得用居台相机啊伐,0.4
24,我叫你怎么做你就怎么做,我叫你訾那做你就訾那做,0.36363636363636365
25,她很喜欢在电视上看网球比赛,渠很喜欢缩电视上眙网球比赛,0.23076923076923078
26,那幅画是印象派的大师级作品,许幅画是印象派个大师级作品,0.15384615384615385
