,wuu,yue,count
0,阿拉,我哋,4
1,试,吓吖,1
2,哏末哪能,嗯咁,1
3,侬勿要瞎讲,唔好喺度乱噏廿四,1
4,搿只,呢粒,1
5,老,好,2
6,勿要忘,唔好唔,2
7,脱明朝6,得听日六,1
8,钟来寻,嚟搵,1
9,相信伊是个,谂佢系,1
10,啥辰光,几时,1
11,侬,你,8
12,勿,都唔,1
13,脱侬,你,1
14,打算拿搿,谂住送呢,1
15,送拨侬,俾你,1
16,搿眼是啥人,啲书边,1
17,书,㗎,1
18,搿,呢,3
19,勿是啥个辰光侪适,唔系几时都啱,1
20,个,㗎,4
21,天侪垃海,都喺度,1
22,跟㑚爷娘谈清爽,同你阿爸阿妈倾吓,1
23,呒没,唔系好,1
24,垃海,有嚟,1
25,阿拉个,我哋嘅,1
26,是诶额,系个,1
27,是,系,7
28,个,嘅,8
29,汤姆回到,阿Tom返咗,1
30,搿眼,呢啲,1
31,侪是,都系,1
32,统传下来个,落嚟嘅,1
33,伊穿啥侪好看,佢着咩都咁靓,1
34,房子,啲屋,1
35,家家,间一间噉,1
36,起,咗,1
37,伊昨,佢寻,1
38,啥个道理勿来,做咩唔嚟嘅,1
39,伊个,佢间,1
40,脱,咗,1
41,桌凳别样物事侪呒没,枱就咩都无喇,1
42,了,咗,2
43,天,日,1
44,侪晓得,先知,1
45,伊,佢,4
46,侬啥个辰光回来,你几时返嚟呀,1
47,侬懂勿懂,你识唔识,1
48,伐,呀,2
49,跟侬讲个搿能,叫你点,1
50,按照,你就点做,1
51,伊老欢喜垃,佢好锺意喺,1
52,浪向看,度睇,1
53,哀,嗰,1
54,拉垃,喺,3
55,邪气笑个,狭窄,1
56,勿停个受到,而家不断咁俾,1
57,拉垃两,喺二,1
58,搿,嗰,1
59,个,会有,1
60,将会得从,喺,1
61,浪,度,1
62,个,紧,1
63,会,吓,1
64,家个,己嘅,1
65,里向,狗窦咁,1
66,七八,我都顶得顺但系污,1
67,也呒没问题个但龌龊个闲,嘅,1
68,是勿能够,就,1
69,个,唔到,1
70,伊像啥,佢咩,1
71,体侪依,都,1
72,个,晒个,1
73,了,喺,1
74,里个哀,头嗰,1
75,是啥人,系边个嚟㗎,2
76,谢谢侬拿搿,唔该你将,1
77,从,由,1
