,cmn,yue,LV distance score
0,我们试试看,我哋试吓吖,0.6
1,那又怎样,嗯咁呢,1.0
2,不要说废话,唔好喺度乱噏廿四,1.0
3,这个苹果很酸,呢粒苹果好酸,0.5
4,别忘了明天六时来接我,唔好唔记得听日六点嚟搵我喎,0.8461538461538461
5,我相信他是个聪明人,我谂佢系聪明人嚟嘅,0.7777777777777778
6,什么时候出发最方便你,几时出发最方便你,0.3
7,我永远不会忘记你,我永远都唔会忘记你,0.2222222222222222
8,我打算把这块手表送给你,我谂住送呢只表俾你,0.7272727272727273
9,这些书是谁的,啲书边个㗎,0.8333333333333334
10,这条规则不是什么时候都适用的,呢条规则唔系几时都啱用㗎,0.5714285714285714
11,天气每天都在变,天气每日都喺度变紧,0.4444444444444444
12,你应该先和你的父母谈谈,你应该同你阿爸阿妈倾吓先,0.75
13,参加的人并不多,唔系好多人有嚟,1.0
14,我们的结论就是那个传言是真的,我哋嘅结论就系个传言系真嘅,0.42857142857142855
15,汤姆回乡下了,阿 Tom 返咗乡下,0.9
16,这些古老习俗都是一代一代相传下来的,呢啲古老嘅习俗都系一代一代噉传落嚟嘅,0.4444444444444444
17,她穿什么都好看,佢着咩都咁靓,0.8571428571428571
18,房子一间一间地着了火,啲屋一间一间噉着咗火,0.4
19,她昨天为什么不来,佢寻日做咩唔嚟嘅,1.0
20,他的房间除了一张桌子就什么也没有了,佢间房除咗张枱就咩都无喇,0.7647058823529411
21,过了三天我才知道原来她失踪了,过咗三日我先知原来佢失咗踪,0.5
22,你什么时候回来,你几时返嚟呀,0.7142857142857143
23,你懂得用这台相机吗,你识唔识用呢部相机呀,0.6
24,我叫你怎么做你就怎么做,我叫你点做你就点做,0.36363636363636365
25,她很喜欢在电视上看网球比赛,佢好锺意喺电视度睇网球比赛,0.5384615384615384
26,那幅画是印象派的大师级作品,嗰幅画系印象派嘅大师级作品,0.23076923076923078
27,位处赤道附近一个狭窄区域的热带雨林正在不断地遭受人类的破坏预计在二零零零年之前该区域将会有五分之四的热带雨林从地球上消失,喺赤道附近一个狭窄区域嘅热带雨林而家不断咁俾人类破坏紧预计喺二零零零年之前嗰个区域会有五分之四嘅热带雨林喺地球度消失,0.2833333333333333
28,你应该学习控制自己的情绪,你应该学吓控制自己嘅情绪,0.16666666666666666
29,房子乱七八糟也没问题但是肮脏的话我接受不了,啲屋狗窦咁乱我都顶得顺但系污糟嘅话我就接受唔到,0.782608695652174
30,她什么事也依赖老公,佢咩事都靠晒个老公,0.7777777777777778
31,坐在角落的那个男人是谁,坐喺角落头嗰个男人系边个嚟㗎,0.5714285714285714
32,请你把故事从头到尾给我们说一遍,唔该你将个故事由头到尾讲晒俾我地听,0.6470588235294118
33,你可以带我去吗,你可唔可以带我去呀,0.3333333333333333
34,你一定要考虑清楚你想做怎么样的工作,你一定要谂清楚你想做啲点嘅工,0.4117647058823529
35,你放假打算去什么地方玩呢,你放假谂住去边度玩呀,0.5833333333333334
36,她把苹果切成了两半,佢将个苹果切开咗两分,0.6
37,这些树是他们种的,呢啲树系佢哋种嘅,0.75
38,瑞士人大多能说三四种语言,瑞士人多数识讲三四种语言,0.3333333333333333
39,这房间是禁止吸烟的,呢间房唔俾食烟㗎,0.7777777777777778
40,我一走路这里就很痛,我一行路呢度就痛到好犀利,0.6666666666666666
41,她除了懂得弹钢琴还懂得弹吉他,佢除咗识弹琴仲识弹结他添,0.7142857142857143
42,她会弹钢琴吗,佢识唔识弹琴㗎,0.8571428571428571
43,我想他得花两个小时才能把工作做完,我谂佢要用两粒钟先至做得晒啲嘢,0.875
