,cmn,wuu,LV distance score
0,我们试试看,阿拉试试,0.6
1,那又怎样,哏末哪能呢,1.0
2,不要说废话,侬勿要瞎讲,1.0
3,这个苹果很酸,搿只苹果老酸个,0.5714285714285714
4,别忘了明天六时来接我,勿要忘记脱明朝6点钟来寻我,0.6923076923076923
5,我相信他是个聪明人,我相信伊是个聪明人,0.1111111111111111
6,什么时候出发最方便你,啥辰光出发最方便侬,0.5
7,我永远不会忘记你,我永远勿会得忘记脱侬,0.4
8,我打算把这块手表送给你,我打算拿搿只手表送拨侬,0.45454545454545453
9,这些书是谁的,搿眼是啥人个书,1.0
10,这条规则不是什么时候都适用的,搿条规则勿是啥个辰光侪适用个,0.5714285714285714
11,天气每天都在变,天气每日天侪垃海变,0.4444444444444444
12,你应该先和你的父母谈谈,侬应该跟㑚爷娘谈清爽先,0.8181818181818182
13,参加的人并不多,呒没多少人垃海,1.0
14,我们的结论就是那个传言是真的,阿拉个结论就是诶额传言是真个,0.42857142857142855
15,汤姆回乡下了,汤姆回到乡下头了,0.25
16,这些古老习俗都是一代一代相传下来的,搿眼古老个习俗侪是一代一代传统传下来个,0.3684210526315789
17,她穿什么都好看,伊穿啥侪好看,0.5714285714285714
18,房子一间一间地着了火,房子一家家着起火来,0.6
19,她昨天为什么不来,伊昨日啥个道理勿来,0.7777777777777778
20,他的房间除了一张桌子就什么也没有了,伊个房间除脱张桌凳别样物事侪呒没,0.7058823529411765
21,过了三天我才知道原来她失踪了,过了三天我侪晓得原来伊失踪了,0.2857142857142857
22,你什么时候回来,侬啥个辰光回来,0.7142857142857143
23,你懂得用这台相机吗,侬懂勿懂用搿部照相机伐,0.6363636363636364
24,我叫你怎么做你就怎么做,按照我跟侬讲个搿能做,0.9090909090909091
25,她很喜欢在电视上看网球比赛,伊老欢喜垃电视浪向看网球比赛个,0.5333333333333333
26,那幅画是印象派的大师级作品,哀幅画是印象派个大师级作,0.23076923076923078
27,位处赤道附近一个狭窄区域的热带雨林正在不断地遭受人类的破坏预计在二零零零年之前该区域将会有五分之四的热带雨林从地球上消失,拉垃赤道附近一个邪气笑个区域个热带雨林勿停个受到人类个破坏预计拉垃两零零零年之前搿个区域个五分之四个热带雨林将会得从地球浪消失,0.4444444444444444
28,你应该学习控制自己的情绪,侬应该学会控制自家个情绪,0.3333333333333333
29,房子乱七八糟也没问题但是肮脏的话我接受不了,屋里向乱七八糟也呒没问题个但龌龊个闲话我是勿能够接受个,0.5555555555555556
30,她什么事也依赖老公,伊像啥事体侪依靠老公个,0.6363636363636364
31,坐在角落的那个男人是谁,坐了角落里个哀个男人是啥人,0.46153846153846156
32,请你把故事从头到尾给我们说一遍,谢谢侬拿搿个故事从头到底讲拨阿拉听,0.7647058823529411
33,你可以带我去吗,侬可以带我去伐,0.2857142857142857
34,你一定要考虑清楚你想做怎么样的工作,侬一定要考虑清爽侬想做哪能样个工作,0.35294117647058826
35,你放假打算去什么地方玩呢,侬放假打算到啊里耷去白相呢,0.6153846153846154
36,她把苹果切成了两半,伊拿苹果一劈两,0.6666666666666666
37,这些树是他们种的,搿些树是伊拉种个,0.5
38,瑞士人大多能说三四种语言,瑞士人大多数会得讲三四种语言,0.2857142857142857
39,这房间是禁止吸烟的,搿房间是禁止吃香烟个,0.4
40,我一走路这里就很痛,我一走路搿搭就老痛个,0.4
41,她除了懂得弹钢琴还懂得弹吉他,伊除脱懂得弹钢琴还懂得弹吉他,0.14285714285714285
42,她会弹钢琴吗,伊会得弹钢琴伐,0.42857142857142855
43,我想他得花两个小时才能把工作做完,我想伊要花两个钟头才好挪工作做光,0.4375
44,我真想在 Tatoeba 写很多很多的句子不过我有别的事要做,我老想拉垃 Tatoeba 浪写交关交关句子但是我有别个事体要做,0.40625
45,我们还是让老师决定吧,阿拉还是等老师决定伐,0.4
46,圣诞节快到了生意也好了点,圣诞节到快生意也好点,0.25
47,剪刀石头布,榔头剪刀纸头,0.6666666666666666
48,我要和你说再见了,我要帮侬讲再会了,0.5
49,对了我有一件事要告诉你,对个我有桩事体要跟侬讲,0.6363636363636364
50,这里附近的电话亭少得可怜,搿搭附近个电话亭少了可怜,0.3333333333333333
51,汤姆今天要留在家中吗,汤姆今朝要留拉屋里向伐,0.5454545454545454
52,你可以告诉我我错在哪儿吗,侬可以告诉我我错拉阿里搭伐,0.46153846153846156
53,电影好看吗,电影好看伐,0.2
54,什么水果是红色的,啥个水果是红颜色个,0.4444444444444444
55,你是怎么认识她的,侬是哪能认得伊个,0.75
56,他走路时常常把一只手插在裤袋里,伊走路个辰光常常拿一只手插拉裤袋里,0.35294117647058826
57,天色开始暗了麻烦你帮我开灯,天色开始暗了麻烦侬帮我开灯,0.07692307692307693
58,我们以前住的房子被拆毁了,阿拉以前住个房子被拆脱了,0.3333333333333333
59,这间学校女孩比男孩多,搿间学堂女小人比男小人多,0.5
