,cmn_id,cmn_sentence,wuu_sentence,wen_sentence,yue_sentence
0,1,我们试试看！,阿拉试试！,卬你试试眙！,我哋试吓吖！
1,51,那又怎样?,哏末哪能呢？,那就訾那能爻？,嗯，咁呢？
2,339240,不要说废话！,侬勿要瞎讲！,覅讲废话！,唔好喺度乱噏廿四！
3,340093,这个苹果很酸。,搿只苹果老酸个。,居个苹果酸显酸。,呢粒苹果好酸。
4,342196,别忘了明天六时来接我。,勿要忘记脱明朝6点钟来寻我。,覅悗记爻明朝六点钟走来接我。,唔好唔记得听日六点嚟搵我喎。
5,342695,我相信他是个聪明人。,我相信伊是个聪明人。,我相信渠是个聪明人。,我谂佢系聪明人嚟嘅。
6,344942,什么时候出发最方便你？,啥辰光出发最方便侬？,若能届走最方便啊你？,几时出发最方便你？
7,345745,我永远不会忘记你。,我永远勿会得忘记脱侬。,我永远覅悗记你。,我永远都唔会忘记你。
8,364949,我打算把这块手表送给你。,我打算拿搿只手表送拨侬。,我打算逮居个手表送匄你。,我谂住送呢只表俾你。
9,372367,这些书是谁的？,搿眼是啥人个书？,居厘书是何乜人个？,啲书边个㗎？
10,378275,这条规则不是什么时候都适用的。,搿条规则勿是啥个辰光侪适用个。,居条规定否是若能届沃可以用个。,呢条规则唔系几时都啱用㗎。
11,385476,天气每天都在变。,天气每日天侪垃海变。,天气每日沃是得变。,天气每日都喺度变紧。
12,385591,你应该先和你的父母谈谈。,侬应该跟㑚爷娘谈清爽先。,你应该伉你爸妈谈一谈先。,你应该同你阿爸阿妈倾吓先。
13,385992,参加的人并不多。,呒没多少人垃海。,参加个人否何乜多。,唔系好多人有嚟。
14,386705,我们的结论就是，那个传言是真的。,阿拉个结论就是，诶额传言是真个。,我厘个结论就是，许个传言是真个.,我哋嘅结论就系，个传言系真嘅。
15,387698,汤姆回乡下了。,汤姆回到乡下头了。,汤姆走乡下转哦罢。,阿 Tom 返咗乡下。
16,388364,这些古老习俗都是一代一代相传下来的。,搿眼古老个习俗侪是一代一代传统传下来个。,居厘老个习俗沃是一代一代传下个。,呢啲古老嘅习俗都系一代一代噉传落嚟嘅。
17,389455,她穿什么都好看。,伊穿啥侪好看。,渠着何乜沃好眙。,佢着咩都咁靓。
18,389463,房子一间一间地着了火。,房子一家家着起火来。,屋宕一间一间能烧起。,啲屋一间一间噉着咗火。
19,389881,她昨天为什么不来？,伊昨日啥个道理勿来？,渠昨夜妆嚷冇走来？,佢寻日做咩唔嚟嘅？
20,395671,他的房间除了一张桌子，就什么也没有了。,伊个房间、除脱张桌凳，别样物事侪呒没。,渠个间里除爻一张桌，就何乜沃冇。,佢间房除咗张枱，就咩都无喇。
21,397081,过了三天我才知道原来她失踪了。,过了三天我侪晓得原来伊失踪了。,过去三日我新晓得原来渠走狃宕爻罢。,过咗三日我先知原来佢失咗踪。
22,402196,你什么时候回来？,侬啥个辰光回来？,你若能届走来？,你几时返嚟呀？
23,403351,你懂得用这台相机吗？,侬懂勿懂用搿部照相机伐？,你晓得用居台相机啊伐?,你识唔识用呢部相机呀？
24,403434,我叫你怎么做，你就怎么做。,按照我跟侬讲个搿能做。,我叫你訾那做，你就訾那做。,我叫你点做，你就点做。
25,403446,她很喜欢在电视上看网球比赛。,伊老欢喜垃电视浪向看网球比赛个。,渠很喜欢缩电视上眙网球比赛。,佢好锺意喺电视度睇网球比赛。
26,403601,那幅画是印象派的大师级作品。,哀幅画是印象派个大师级作。,许幅画是印象派个大师级作品。,嗰幅画系印象派嘅大师级作品。
27,403617,位处赤道附近一个狭窄区域的热带雨林，正在不断地遭受人类的破坏，预计在二零零零年之前，该区域将会有五分之四的热带雨林从地球上消失。,拉垃赤道附近一个邪气笑个区域个热带雨林勿停个受到人类个破坏，预计拉垃两零零零年之前，搿个区域个五分之四个热带雨林将会得从地球浪消失。,位于赤道边埏一个狭个区域个热带雨林，正是搭不停能遭受人类个破坏，预计是二零零零年之前，居区域会有五分之四个热带雨林缩地球上消失。,喺赤道附近一个狭窄区域嘅热带雨林，而家不断咁俾人类破坏紧，预计喺二零零零年之前，嗰个区域会有五分之四嘅热带雨林喺地球度消失。
28,406578,你应该学习控制自己的情绪。,侬应该学会控制自家个情绪。,你应该学起控制你己个脾气。,你应该学吓控制自己嘅情绪。
29,406594,房子乱七八糟也没问题，但是肮脏的话我接受不了。,屋里向乱七八糟也呒没问题个，但龌龊个闲话我是勿能够接受个。,屋宕乱七八糟也冇问题，但是鏖糟个话我□否落。,啲屋狗窦咁乱我都顶得顺，但系污糟嘅话我就接受唔到。
